stim_id,superordinate,np,adj,response,response_hand_lemma,label
48,meat,chicken,expensive,butchershops,butcher shops,diff
48,meat,chicken,expensive,food,food,supersuper
48,meat,pork,cheap,butchershops,butcher shops,diff
48,meat,pork,expensive,butchershops,butcher shops,diff
48,meat,steak,cheap,food,food,supersuper
48,meat,steak,expensive,butchershops,butcher shops,diff
48,meat,steak,expensive,food,food,supersuper
48,meat,steak,expensive,foods,food,supersuper
49,alcoholic drinks,bottle of top-shelf liquor,cheap,stores,shops,diff
49,alcoholic drinks,bottle of top-shelf liquor,expensive,bottles,bottles,sub
49,alcoholic drinks,bottle of wine,cheap,bottles,bottles,sub
49,alcoholic drinks,six-pack of beer,cheap,stores,shops,diff
49,alcoholic drinks,six-pack of beer,expensive,stores,shops,diff
50,restaurants,Chinese restaurant,cheap,dinner,dinner,supersuper
50,restaurants,Chinese restaurant,cheap,dinners,dinner,supersuper
50,restaurants,Chinese restaurant,cheap,food,food,supersuper
50,restaurants,Chinese restaurant,cheap,menu,menu,supersuper
50,restaurants,Chinese restaurant,cheap,menus,menu,supersuper
50,restaurants,Chinese restaurant,cheap,places for dinner,places for dinner,super
50,restaurants,Chinese restaurant,cheap,restaurant prices,restaurant price,super
50,restaurants,Chinese restaurant,expensive,dinner,dinner,supersuper
50,restaurants,Chinese restaurant,expensive,dinners,dinner,supersuper
50,restaurants,Japanese restaurant,cheap,dinner,dinner,supersuper
50,restaurants,Japanese restaurant,cheap,food,food,supersuper
50,restaurants,Japanese restaurant,cheap,menus,menu,supersuper
50,restaurants,Japanese restaurant,cheap,places for dinner,places for dinner,super
50,restaurants,Japanese restaurant,expensive,dinner,dinner,supersuper
50,restaurants,Japanese restaurant,expensive,menus,menu,supersuper
50,restaurants,Japanese restaurant,expensive,restaurant prices,restaurant price,super
50,restaurants,Korean restaurant,cheap,food,food,supersuper
50,restaurants,Korean restaurant,cheap,places for dinner,places for dinner,super
50,restaurants,Korean restaurant,expensive,menu,menu,supersuper
50,restaurants,Korean restaurant,expensive,menus,menu,supersuper
50,restaurants,Korean restaurant,expensive,restaurant prices,restaurant price,super
51,plants,bush,small,stores,shops,diff
51,plants,flower,big,stores,shops,diff
51,plants,tree,big,stores,shops,diff
54,fruit,kumquat,small,vegetables,vegetables,super
54,fruit,watermelon,big,melons,melons,intermediate
55,fish,herring,big,animals,animals,supersuper
55,fish,herring,big,birds,birds,super
55,fish,herring,small,animals,animals,supersuper
55,fish,herring,small,birds,birds,super
55,fish,shark,big,animals,animals,supersuper
55,fish,shark,small,animals,animals,supersuper
56,vehicles,sedan,big,cars,cars,intermediate
56,vehicles,sedan,small,automobiles,cars,intermediate
56,vehicles,sedan,small,cars,cars,intermediate
56,vehicles,smartcar,big,cars,cars,intermediate
56,vehicles,smartcar,small,automobiles,cars,intermediate
56,vehicles,smartcar,small,car's,cars,intermediate
56,vehicles,smartcar,small,cars,cars,intermediate
56,vehicles,truck,big,cars,cars,intermediate
56,vehicles,truck,small,cars,cars,intermediate
59,people,jogger,fast,runners,runners,intermediate
59,people,jogger,slow,other runners,runners,intermediate
59,people,jogger,slow,runners,runners,intermediate
61,cookware,crockpot,quick,appliances,appliances,supersuper
61,cookware,crockpot,quick,cooking appliances,cooking appliances,super
61,cookware,crockpot,quick,cooking methods,cooking methods,super
61,cookware,crockpot,quick,dinners,dinner,diff
61,cookware,crockpot,quick,meals,meals,diff
61,cookware,crockpot,quick,methods of cooking,methods of cooking,super
61,cookware,crockpot,quick,pots,pots,intermediate
61,cookware,crockpot,slow,appliances,appliances,supersuper
61,cookware,crockpot,slow,cooking methods,cooking methods,super
61,cookware,crockpot,slow,cooking methods.,cooking methods,super
61,cookware,crockpot,slow,meals,meals,diff
61,cookware,crockpot,slow,methods,methods,super
61,cookware,crockpot,slow,methods of cooking,methods of cooking,super
61,cookware,crockpot,slow,pots,pots,intermediate
61,cookware,frying pan,quick,cooking methods,cooking methods,super
61,cookware,frying pan,quick,dinner,dinner,diff
61,cookware,frying pan,quick,dinners,dinner,diff
61,cookware,frying pan,quick,meals,meals,diff
